time,std.indexOfSentinel,vector.indexOfSentinel,glibc strlen,vector.indexOfScalar,memchr
1664,526,45,0,33,0
1680,533,44,0,33,0
1696,535,44,0,34,0
1712,540,45,0,34,0
1728,546,45,0,35,0
1744,550,45,0,35,0
1760,555,45,0,35,0
1776,569,46,0,35,0
1792,565,46,0,36,0
1808,570,46,0,36,0
1824,578,46,0,36,0
1840,580,49,0,36,0
1856,585,49,0,37,0
1872,593,49,0,37,0
1888,595,50,0,38,0
1904,603,50,0,38,0
1920,608,50,0,38,0
1936,621,52,0,40,0
1952,618,50,0,39,0
1968,623,51,0,39,0
1984,628,51,0,40,0
2000,639,51,0,40,0
2016,635,52,0,40,0
2032,639,52,0,40,0
2048,647,52,0,47,0
2064,649,53,0,41,0
2080,654,54,0,41,0
2096,660,53,0,41,0
2112,667,54,0,42,0
2128,672,54,0,42,0
2144,677,54,0,43,0
2160,679,55,0,43,0
2176,684,55,0,43,0
2192,689,56,0,43,0
2208,700,56,0,50,0
2224,699,56,0,44,0
2240,707,56,0,45,0
2256,712,57,0,45,0
2272,714,57,0,45,0
2288,722,57,0,45,0
2304,724,58,0,46,0
2320,805,58,0,46,0
2336,734,59,0,46,0
2352,742,58,0,46,0
2368,744,59,0,53,0
2384,751,64,0,47,0
2400,760,60,0,48,0
2416,761,60,0,48,0
2432,766,60,0,48,0
2448,768,60,0,54,0
2464,827,61,0,49,0
2480,778,61,0,49,0
2496,786,59,0,49,0
2512,788,61,0,50,0
2528,796,62,0,60,0
2544,798,64,0,50,0
2560,806,62,0,51,0
2576,808,68,0,51,0
2592,813,63,0,51,0
2608,818,63,0,58,0
2624,826,64,0,52,0
2640,828,64,0,52,0
2656,833,64,0,53,0
2672,838,65,0,53,0
2688,843,65,0,63,0
2704,848,66,0,53,0
2720,853,65,0,54,0
2736,861,65,0,54,0
2752,863,66,0,55,0
2768,868,66,0,64,0
2784,873,67,0,65,0
2800,879,67,0,63,0
2816,883,67,0,56,0
2832,888,67,0,56,0
2848,893,68,0,56,0
2864,897,68,0,56,0
2880,902,69,0,57,0
2896,910,69,0,57,0
2912,912,70,0,58,0
2928,917,70,0,58,0
2944,923,72,0,60,0
2960,986,75,0,62,0
2976,998,75,0,63,0
2992,1103,71,0,59,0
3008,945,71,0,59,0
3024,950,71,0,66,0
3040,955,72,0,60,0
3056,960,72,0,60,0
3072,965,73,0,61,0
3088,971,73,0,61,0
3104,975,73,0,62,0
3120,977,75,0,61,0
3136,1095,74,0,65,0
3152,987,81,0,68,0
3168,994,74,0,62,0
3184,997,75,0,63,0
3200,1004,75,0,70,0
3216,1009,75,0,63,0
3232,1014,76,0,64,0
3248,1019,77,0,64,0
3264,1029,77,0,70,0
3280,1026,77,0,70,0
3296,1034,77,0,70,0
3312,1036,77,0,70,0
3328,1044,78,0,71,0
3344,1049,78,0,71,0
3360,1054,78,0,72,0
3376,1059,79,0,72,0
3392,1061,81,0,73,0
3408,1071,118,0,75,0
3424,1074,80,0,73,0
3440,1078,85,0,74,0
3456,1083,85,0,75,0
3472,1088,81,0,74,0
3488,1091,81,0,75,0
3504,1098,82,0,75,0
3520,1100,82,0,79,0
3536,1108,82,0,76,0
3552,1113,82,0,76,0
3568,1118,83,0,77,0
3584,1120,83,0,77,0
3600,1128,84,0,77,0
3616,1130,90,0,80,0
3632,1135,84,0,78,0
3648,1147,85,0,78,0
3664,1145,85,0,78,0
3680,1153,85,0,79,0
3696,1158,92,0,81,0
3712,1163,86,0,82,0
3728,1165,86,0,79,0
3744,1173,88,0,79,0
3760,1175,90,0,80,0
3776,1186,87,0,81,0
