time,std.indexOfSentinel,vector.indexOfSentinel,glibc strlen,vector.indexOfScalar,memchr
56623104,12170906,1362266,1074267,1345006,1143477
57671680,13521634,1383286,1117837,1411146,1131028
58720256,12617805,1420706,1122957,1406706,1128656
59768832,12867466,1449926,1112867,1438676,1135286
60817408,13109805,1463496,1146627,1463926,1174226
61865984,13291365,1490515,1176427,1512116,1184156
62914560,13492524,1509056,1231926,1528456,1224887
63963136,13756853,1512765,1238887,1511616,1272536
65011712,13953922,1478516,1222407,1469026,1185306
66060288,14232622,1565755,1269867,1595605,1279557
67108864,14479961,1499856,1227157,1510276,1291366
68157440,14590651,1623235,1361706,1598366,1353876
69206016,14908600,1660825,1353706,1822625,1510956
70254592,15300548,1688546,1379846,1656945,1380996
71303168,15366459,1712685,1415356,1721945,1453506
72351744,15620458,1636415,1368666,1645036,1420046
73400320,15817757,1717345,1453126,1775755,1481517
74448896,16049445,1647966,1465456,1811386,1501276
75497472,16171015,1689096,1470206,1761115,1510466
76546048,16502075,1762015,1546976,1764645,1584085
77594624,16711445,1815655,1600755,1858825,1572326
78643200,16945524,1888134,1581816,1841255,1586515
79691776,17127374,1802175,1545405,1832225,1558756
80740352,17570302,1925035,1664816,1893405,1687145
81788928,17618612,1886015,1672575,1919355,1720245
82837504,17803552,1832455,1611945,1869275,1689035
83886080,18071681,1961244,1754256,2001265,1795825
84934656,18273031,2024644,1751425,1979924,1748696
85983232,18508590,1965075,1801385,1998064,1772495
87031808,18706189,1924405,1755925,1920735,1737136
88080384,18940688,2038465,1837254,2062625,1892654
89128960,19072228,2050455,1907644,2079304,1900645
90177536,19411387,1984704,1789145,2097015,1890666
91226112,19570276,2145534,1943445,2150904,1917434
92274688,19841106,2178414,1921015,2152294,1953034
93323264,20022766,2056925,1877485,2066154,1848195
94371840,20245655,2258363,1985615,2183094,1992964
95420416,20422854,2122144,1937025,2271675,2013944
96468992,20740194,2237693,2039825,2227464,2019264
97517568,20924103,2261623,2049185,2284604,2069135
98566144,21106012,2505633,2174764,2395453,2165414
99614720,21424132,2450793,2296524,2363704,2140284
100663296,21655671,2221164,2099104,2420273,2147034
101711872,21914380,2389875,2160254,2366123,2184934
102760448,22042670,2419103,2180264,2449733,2195524
103809024,22354410,2499133,2277904,2459483,2232373
104857600,22706398,2488373,2254404,2467484,2238824
105906176,22874418,2466483,2267563,2488023,2258294
106954752,23051577,2527394,2296104,2547193,2285333
108003328,23237257,2520222,2336864,2745063,2438314
109051904,23629775,2526813,2382613,2512223,2346524
110100480,23735675,2614704,2367913,2532733,2469343
111149056,23817705,2554663,2381223,2519914,2350834
112197632,24052624,2474983,2370273,2585553,2436233
113246208,24383585,2664002,2471503,2698113,2430543
114294784,24609652,2623513,2494504,2603003,2467623
115343360,24819782,2700973,2506923,2688402,2475595
116391936,25033751,2713202,2526313,2726263,2536103
117440512,25245913,2582962,2568343,2719043,2727002
118489088,25551720,2682534,2617362,2826292,2642453
119537664,25727769,2777703,2639093,2793093,2619633
120586240,25953729,2888032,2673873,2823743,2617213
121634816,26141118,2731992,2538523,2836382,2648064
122683392,26401278,2863852,2674082,2848402,2668193
123731968,26524588,2901992,2702183,2962861,2702793
124780544,26810468,2903581,2765813,2898602,2728812
125829120,27028966,2925453,2783452,2909912,2764672
126877696,27147836,2801903,2679753,3100121,2821752
127926272,27285966,2869232,2692553,2914232,2804552
128974848,27495055,2884153,2726752,2915852,2756522
130023424,27754404,2963953,2795092,2886072,2769412
131072000,28026923,3023573,2883812,2963182,2776482
132120576,28212972,2968173,2805733,2921041,2782283
133169152,28432501,2978793,2813103,3013181,2846412
134217728,28667891,2991013,2841512,2969402,2857862
135266304,28860441,2985343,2877092,2961551,2892282
136314880,29127351,3333801,3184751,3188371,3011492
137363456,29584470,3065941,2927192,3059952,2962091
138412032,29585620,3095062,2997631,3083362,2969231
139460608,29747950,3118541,3030512,3256460,3158472
140509184,30053078,3154361,3004472,3120911,3022493
141557760,30208317,3160431,3015272,3194772,3025522
142606336,30409526,3202431,3050482,3222202,3159231
143654912,30781755,3205312,3093992,3275281,3059921
144703488,30953786,3244721,3110642,3196211,3097251
145752064,31165666,3433860,3263581,3434920,3239721
146800640,31309955,3227501,3145901,3283282,3197032
147849216,31669102,3300631,3296412,3456371,3327140
148897792,31801773,3340862,3186871,3344521,3202611
149946368,32020873,3342790,3253401,3345201,3219781
150994944,32381242,3351961,3257881,3361481,3290291
152043520,32465311,3429541,3278612,3537710,3396660
153092096,32865001,3510880,3416361,3629399,3441921
154140672,32956610,3556560,3376521,3429961,3364931
155189248,33161069,3476140,3357422,3577950,3363741
156237824,33414529,3600440,3513520,3709580,3593490
157286400,33706969,3520860,3380441,3549091,3444281
158334976,33840597,3544092,3403610,3535980,3455591
159383552,34120738,3760729,3576080,3754460,3577731
160432128,35467122,3778431,3625560,3751829,3589900
161480704,34651456,3830049,3647500,3800610,3621121
162529280,34803544,3673320,3512311,3822839,3643070
163577856,35016385,3900729,3709000,3861249,3667141
